Temperature	Date	Time
19	21/02/2022	07:13:47.024753
19	21/02/2022	07:23:47.382038
19	21/02/2022	07:33:47.739220
19	21/02/2022	07:43:48.096532
19	21/02/2022	07:53:48.453815
19	21/02/2022	08:03:48.810949
19	21/02/2022	08:13:49.168230
19	21/02/2022	08:23:49.525522
19	21/02/2022	08:33:49.882735
19	21/02/2022	08:43:50.240067
19	21/02/2022	08:53:50.597442
19	21/02/2022	09:03:50.954736
19	21/02/2022	09:13:51.243768
19	21/02/2022	09:23:51.601048
19	21/02/2022	09:33:51.958384
19	21/02/2022	09:43:52.315683
19	21/02/2022	09:53:52.673046
19	21/02/2022	10:03:53.030325
19	21/02/2022	10:13:53.387626
19	21/02/2022	10:23:53.744899
19	21/02/2022	10:33:54.102143
19	21/02/2022	10:43:54.459467
19	21/02/2022	10:53:54.816702
19	21/02/2022	11:03:55.173891
19	21/02/2022	11:13:55.531359
19	21/02/2022	11:23:55.888605
19	21/02/2022	11:33:56.245908
19	21/02/2022	11:43:56.603339
19	21/02/2022	11:53:56.960636
19	21/02/2022	12:03:57.317838
19	21/02/2022	12:13:57.675126
19	21/02/2022	12:23:57.963864
19	21/02/2022	12:33:58.321207
19	21/02/2022	12:43:58.678502
19	21/02/2022	12:53:59.035782
19	21/02/2022	13:03:59.393055
20	21/02/2022	13:13:59.750363
20	21/02/2022	13:24:00.014981
20	21/02/2022	13:34:00.286433
20	21/02/2022	13:44:00.558534
20	21/02/2022	13:54:00.821343
20	21/02/2022	14:04:01.178718
20	21/02/2022	14:14:01.535974
20	21/02/2022	14:24:01.893187
20	21/02/2022	14:34:02.250685
20	21/02/2022	14:44:02.607979
20	21/02/2022	14:54:02.965275
20	21/02/2022	15:04:03.322621
20	21/02/2022	15:14:03.597346
20	21/02/2022	15:24:03.954617
20	21/02/2022	15:34:04.311859
19	21/02/2022	15:44:04.669214
19	21/02/2022	15:54:05.026511
19	21/02/2022	16:04:05.383857
19	21/02/2022	16:14:05.644177
19	21/02/2022	16:24:06.001518
19	21/02/2022	16:34:06.358742
19	21/02/2022	16:44:06.716031
19	21/02/2022	16:54:07.073371
19	21/02/2022	17:04:07.430660
19	21/02/2022	17:14:07.787874
20	21/02/2022	17:24:08.145176
21	21/02/2022	17:34:08.502444
21	21/02/2022	17:44:08.843887
21	21/02/2022	17:54:09.201245
21	21/02/2022	18:04:09.471237
21	21/02/2022	18:14:09.828639
21	21/02/2022	18:24:10.185900
21	21/02/2022	18:34:10.542822
21	21/02/2022	18:44:10.900120
21	21/02/2022	18:54:11.257367
21	21/02/2022	19:04:11.563863
21	21/02/2022	19:14:11.921158
21	21/02/2022	19:24:12.278484
21	21/02/2022	19:34:12.635753
21	21/02/2022	19:44:12.993150
21	21/02/2022	19:54:13.349683
21	21/02/2022	20:04:13.615465
21	21/02/2022	20:14:13.972910
21	21/02/2022	20:24:14.284028
21	21/02/2022	20:34:14.641335
21	21/02/2022	20:44:14.998552
21	21/02/2022	20:54:15.355837
21	21/02/2022	21:04:15.713127
21	21/02/2022	21:14:16.070169
20	21/02/2022	21:24:16.427486
20	21/02/2022	21:34:16.784753
20	21/02/2022	21:44:17.142000
20	21/02/2022	21:54:17.498786
20	21/02/2022	22:04:17.856212
20	21/02/2022	22:14:18.213372
20	21/02/2022	22:24:18.570779
20	21/02/2022	22:34:18.928029
20	21/02/2022	22:44:19.285023
21	21/02/2022	22:54:19.642332
20	21/02/2022	23:04:19.911114
20	21/02/2022	23:14:20.268520
20	21/02/2022	23:24:20.625767
20	21/02/2022	23:34:20.983194
20	21/02/2022	23:44:21.340501
20	21/02/2022	23:54:21.697837
20	22/02/2022	00:04:21.974299
20	22/02/2022	00:14:22.331059
20	22/02/2022	00:24:22.688274
20	22/02/2022	00:34:23.045597
20	22/02/2022	00:44:23.402889
20	22/02/2022	00:54:23.723935
20	22/02/2022	01:04:24.081256
20	22/02/2022	01:14:24.438547
20	22/02/2022	01:24:24.795781
20	22/02/2022	01:34:25.153097
20	22/02/2022	01:44:25.510509
19	22/02/2022	01:54:28.125971
19	22/02/2022	02:04:28.483020
19	22/02/2022	02:14:28.751155
19	22/02/2022	02:24:29.107080
19	22/02/2022	02:34:29.464388
19	22/02/2022	02:44:29.803840
19	22/02/2022	02:54:30.161088
19	22/02/2022	03:04:30.434206
19	22/02/2022	03:14:30.791642
19	22/02/2022	03:24:31.066242
18	22/02/2022	03:34:31.423639
18	22/02/2022	03:44:31.780973
18	22/02/2022	03:54:32.138332
18	22/02/2022	04:04:32.495495
17	22/02/2022	04:14:32.852845
17	22/02/2022	04:24:33.209285
17	22/02/2022	04:34:35.823653
17	22/02/2022	04:44:36.180992
17	22/02/2022	04:54:36.538278
17	22/02/2022	05:04:39.152478
17	22/02/2022	05:14:39.509344
17	22/02/2022	05:24:42.124994
17	22/02/2022	05:34:42.389369
16	22/02/2022	05:44:42.746852
17	22/02/2022	05:54:43.104122
17	22/02/2022	06:04:43.461793
17	22/02/2022	06:14:43.778347
18	22/02/2022	06:24:44.043750
18	22/02/2022	06:34:44.401584
18	22/02/2022	06:44:44.758934
18	22/02/2022	06:54:45.023422
18	22/02/2022	07:04:45.380945
18	22/02/2022	07:14:45.736288
18	22/02/2022	07:24:46.044031
18	22/02/2022	07:34:46.306343
18	22/02/2022	07:44:46.564820
18	22/02/2022	07:54:49.180514
18	22/02/2022	08:04:49.537981
18	22/02/2022	08:14:49.895199
18	22/02/2022	08:24:50.252552
18	22/02/2022	08:34:50.609960
19	22/02/2022	08:44:50.967411
18	22/02/2022	08:54:51.324843
18	22/02/2022	09:04:51.588467
19	22/02/2022	09:14:51.946049
18	22/02/2022	09:24:52.303561
19	22/02/2022	09:34:52.568001
18	22/02/2022	09:44:52.833861
18	22/02/2022	09:54:53.191334
19	22/02/2022	10:04:53.548779
18	22/02/2022	10:14:53.813900
19	22/02/2022	10:24:54.171311
19	22/02/2022	10:34:54.528654
19	22/02/2022	10:44:54.886058
19	22/02/2022	10:54:55.243444
19	22/02/2022	11:04:55.589155
19	22/02/2022	11:14:55.946607
20	22/02/2022	11:24:56.303926
19	22/02/2022	11:34:56.661354
20	22/02/2022	11:44:59.262828
20	22/02/2022	11:54:59.588775
19	22/02/2022	12:04:59.946108
20	22/02/2022	12:15:00.303377
20	22/02/2022	12:25:00.660677
20	22/02/2022	12:35:00.918368
20	22/02/2022	12:45:01.267684
20	22/02/2022	12:55:01.624968
20	22/02/2022	13:05:01.982309
20	22/02/2022	13:15:02.339557
20	22/02/2022	13:25:02.683827
20	22/02/2022	13:35:02.948853
20	22/02/2022	13:45:03.306079
20	22/02/2022	13:55:03.663293
20	22/02/2022	14:05:04.020594
20	22/02/2022	14:15:04.377912
20	22/02/2022	14:25:04.735193
20	22/02/2022	14:35:05.092564
21	22/02/2022	14:45:05.450027
21	22/02/2022	14:55:08.062606
21	22/02/2022	15:05:08.420008
21	22/02/2022	15:15:08.776917
20	22/02/2022	15:25:09.039013
20	22/02/2022	15:35:09.308149
20	22/02/2022	15:45:09.665488
20	22/02/2022	15:55:10.022854
20	22/02/2022	16:05:10.379565
20	22/02/2022	16:15:10.736965
20	22/02/2022	16:25:11.093933
20	22/02/2022	16:35:11.451476
20	22/02/2022	16:45:11.808886
21	22/02/2022	16:55:12.079369
20	22/02/2022	17:05:12.346934
20	22/02/2022	17:15:12.704478
21	22/02/2022	17:25:13.061871
20	22/02/2022	17:35:13.323635
21	22/02/2022	17:45:13.681054
21	22/02/2022	17:55:14.038400
21	22/02/2022	18:05:14.395643
21	22/02/2022	18:15:14.752901
21	22/02/2022	18:25:15.110233
21	22/02/2022	18:35:17.725551
21	22/02/2022	18:45:18.083126
21	22/02/2022	18:55:18.440350
21	22/02/2022	19:05:18.797903
21	22/02/2022	19:15:19.155441
21	22/02/2022	19:25:19.513124
21	22/02/2022	19:35:19.780192
21	22/02/2022	19:45:20.050269
21	22/02/2022	19:55:22.666261
21	22/02/2022	20:05:23.023611
21	22/02/2022	20:15:23.380985
21	22/02/2022	20:25:23.738263
21	22/02/2022	20:35:24.001432
21	22/02/2022	20:45:24.266571
21	22/02/2022	20:55:24.533043
21	22/02/2022	21:05:24.890457
21	22/02/2022	21:15:25.247687
21	22/02/2022	21:25:25.604603
21	22/02/2022	21:35:25.961048
21	22/02/2022	21:45:26.318491
21	22/02/2022	21:55:26.593860
21	22/02/2022	22:05:26.923995
21	22/02/2022	22:15:27.281261
21	22/02/2022	22:25:27.638557
21	22/02/2022	22:35:27.995973
21	22/02/2022	22:45:28.353345
21	22/02/2022	22:55:28.710853
21	22/02/2022	23:05:29.068093
21	22/02/2022	23:15:29.424902
21	22/02/2022	23:25:29.682590
21	22/02/2022	23:35:29.957567
21	22/02/2022	23:45:34.828465
21	22/02/2022	23:55:35.184276
21	23/02/2022	00:05:35.541708
21	23/02/2022	00:15:35.900396
21	23/02/2022	00:25:38.516001
21	23/02/2022	00:35:41.131816
21	23/02/2022	00:45:41.489053
21	23/02/2022	00:55:41.818543
21	23/02/2022	01:05:42.175962
21	23/02/2022	01:15:42.437713
21	23/02/2022	01:25:42.795085
21	23/02/2022	01:35:43.152398
21	23/02/2022	01:45:43.509681
21	23/02/2022	01:55:43.866888
